run,bn,heuristic,time,,Column Labels,,,,,
88,hepar2,PE,4.60E-05,,,,,,,
89,hepar2,MN,0.002982,,,,,,,
89,hepar2,MW,3.90E-05,,,,,,,
89,hepar2,MF,3.60E-05,,,,,,,
89,hepar2,WMF,3.70E-05,,,,,,,
89,hepar2,PE,3.60E-05,,,,,,,
90,hepar2,MN,0.003098,,,,,,,
90,hepar2,MW,2.30E-05,,,,,,,
90,hepar2,MF,2.10E-05,,,,,,,
90,hepar2,WMF,2.40E-05,,,,,,,
90,hepar2,PE,3.60E-05,,,,,,,
91,hepar2,MN,0.002698,,,,,,,
91,hepar2,MW,3.20E-05,,,,,,,
91,hepar2,MF,2.90E-05,,,,,,,
91,hepar2,WMF,4.00E-05,,,,,,,
91,hepar2,PE,5.20E-05,,,,,,,
92,hepar2,MN,0.002335,,,,,,,
92,hepar2,MW,2.90E-05,,,,,,,
92,hepar2,MF,2.50E-05,,,,,,,
92,hepar2,WMF,3.00E-05,,,,,,,
92,hepar2,PE,3.70E-05,,,,,,,
93,hepar2,MN,0.002399,,,,,,,
93,hepar2,MW,2.20E-05,,,,,,,
93,hepar2,MF,3.00E-05,,,,,,,
93,hepar2,WMF,3.10E-05,,,,,,,
93,hepar2,PE,3.70E-05,,,,,,,
94,hepar2,MN,0.002384,,,,,,,
94,hepar2,MW,2.50E-05,,,,,,,
94,hepar2,MF,2.80E-05,,,,,,,
94,hepar2,WMF,2.00E-05,,,,,,,
94,hepar2,PE,3.60E-05,,,,,,,
95,hepar2,MN,0.002316,,,,,,,
95,hepar2,MW,3.20E-05,,,,,,,
95,hepar2,MF,2.40E-05,,,,,,,
95,hepar2,WMF,2.20E-05,,,,,,,
95,hepar2,PE,3.70E-05,,,,,,,
96,hepar2,MN,0.002549,,,,,,,
96,hepar2,MW,2.30E-05,,,,,,,
96,hepar2,MF,2.20E-05,,,,,,,
96,hepar2,WMF,2.20E-05,,,,,,,
96,hepar2,PE,4.40E-05,,,,,,,
97,hepar2,MN,0.002303,,,,,,,
97,hepar2,MW,3.50E-05,,,,,,,
97,hepar2,MF,3.70E-05,,,,,,,
97,hepar2,WMF,3.60E-05,,,,,,,
97,hepar2,PE,3.50E-05,,,,,,,
98,hepar2,MN,0.002525,,,,,,,
98,hepar2,MW,4.30E-05,,,,,,,
98,hepar2,MF,3.10E-05,,,,,,,
98,hepar2,WMF,3.00E-05,,,,,,,
98,hepar2,PE,3.60E-05,,,,,,,
99,hepar2,MN,0.002285,,,,,,,
99,hepar2,MW,2.10E-05,,,,,,,
99,hepar2,MF,3.70E-05,,,,,,,
99,hepar2,WMF,2.50E-05,,,,,,,
99,hepar2,PE,4.60E-05,,,,,,,
100,hepar2,MN,0.002409,,,,,,,
100,hepar2,MW,2.30E-05,,,,,,,
100,hepar2,MF,2.60E-05,,,,,,,
100,hepar2,WMF,2.10E-05,,,,,,,
100,hepar2,PE,3.70E-05,,,,,,,
101,hepar2,MN,0.002371,,,,,,,
101,hepar2,MW,3.90E-05,,,,,,,
101,hepar2,MF,2.30E-05,,,,,,,
101,hepar2,WMF,3.00E-05,,,,,,,
101,hepar2,PE,4.30E-05,,,,,,,
102,hepar2,MN,0.002277,,,,,,,
102,hepar2,MW,3.20E-05,,,,,,,
102,hepar2,MF,3.40E-05,,,,,,,
102,hepar2,WMF,3.70E-05,,,,,,,
102,hepar2,PE,4.50E-05,,,,,,,
103,hepar2,MN,0.002414,,,,,,,
103,hepar2,MW,3.60E-05,,,,,,,
103,hepar2,MF,2.30E-05,,,,,,,
103,hepar2,WMF,2.50E-05,,,,,,,
103,hepar2,PE,4.60E-05,,,,,,,
104,hepar2,MN,0.002309,,,,,,,
104,hepar2,MW,2.20E-05,,,,,,,
104,hepar2,MF,2.90E-05,,,,,,,
104,hepar2,WMF,2.40E-05,,,,,,,
104,hepar2,PE,3.90E-05,,,,,,,
105,hepar2,MN,0.003219,,,,,,,
105,hepar2,MW,3.70E-05,,,,,,,
105,hepar2,MF,2.60E-05,,,,,,,
105,hepar2,WMF,2.70E-05,,,,,,,
105,hepar2,PE,3.50E-05,,,,,,,
106,hepar2,MN,0.00248,,,,,,,
106,hepar2,MW,3.80E-05,,,,,,,
106,hepar2,MF,4.50E-05,,,,,,,
106,hepar2,WMF,2.50E-05,,,,,,,
106,hepar2,PE,4.50E-05,,,,,,,
107,hepar2,MN,0.002306,,,,,,,
107,hepar2,MW,4.10E-05,,,,,,,
107,hepar2,MF,3.20E-05,,,,,,,
